hepatwin_id,lookup_ms,ai_inference_ms,shap_ms,pbpk_ms,parallel_wall_ms,exposure_eval_ms,fusion_ms,total_ms,visual_color
HT0683,0.02,11.82,6.13,0.53,12.05,0.01,0.01,12.57,red
HT0706,122.34,12.66,6.39,0.54,12.94,0.02,0.01,135.86,red
HT0706,0.02,14.86,6.75,0.54,15.25,0.02,0.01,15.9,red
HT0706,0.02,15.17,7.96,0.56,15.42,0.02,0.01,16.08,red
HT0732,122.63,15.59,5.53,0.53,15.92,0.02,0.01,139.17,red
HT0732,0.03,15.37,8.0,0.55,15.62,0.02,0.01,16.22,red
HT0732,0.02,13.63,7.09,0.51,13.83,0.01,0.01,14.34,red
HT0756,124.16,10.91,5.37,0.51,11.18,0.02,0.01,135.92,red
HT0756,0.02,10.63,5.58,0.53,10.83,0.01,0.01,11.34,red
HT0756,0.01,10.7,5.79,0.56,10.91,0.01,0.01,11.41,red
HT0780,117.91,11.22,5.63,0.53,11.46,0.02,0.01,129.93,red
HT0780,0.04,11.59,5.82,0.56,11.87,0.02,0.01,12.53,red
HT0780,0.02,10.3,5.26,0.51,10.51,0.02,0.01,11.05,red
HT0805,119.89,12.28,5.96,0.52,12.58,0.02,0.01,133.1,red
HT0805,0.03,11.77,5.91,0.58,12.0,0.02,0.01,12.58,red
HT0805,0.01,11.46,5.94,0.53,11.71,0.02,0.01,12.26,red
HT0829,139.65,11.02,5.52,0.53,11.27,0.02,0.01,151.48,red
HT0829,0.02,11.56,5.51,0.52,11.78,0.01,0.01,12.3,red
HT0829,0.01,10.4,5.58,0.51,10.63,0.01,0.01,11.13,red
HT0853,129.74,12.37,6.29,0.61,12.63,0.02,0.01,142.94,red
HT0853,0.03,11.55,5.65,0.52,11.77,0.01,0.01,12.31,red
HT0853,0.01,10.75,5.48,0.53,10.94,0.01,0.01,11.43,red
HT0880,120.35,22.1,11.62,0.63,22.38,0.02,0.01,143.32,red
HT0880,0.02,21.53,10.53,0.61,21.78,0.02,0.01,22.34,red
HT0880,0.01,19.83,10.05,0.55,20.07,0.01,0.01,20.59,red
HT0907,147.89,12.41,6.1,0.55,12.69,0.02,0.01,161.16,red
HT0907,0.03,15.98,7.44,0.84,16.3,0.02,0.01,16.9,red
HT0907,0.02,11.6,6.13,0.54,11.81,0.01,0.01,12.33,red
HT0936,129.74,23.21,11.78,0.55,23.5,0.02,0.01,153.84,red
HT0936,0.03,25.23,12.72,0.54,25.52,0.02,0.01,26.13,red
HT0936,0.02,21.32,11.05,0.55,21.56,0.01,0.01,22.07,red
