inchikey_block1,dilirank_name,dilirank_label,livertox_name,livertox_label,resolved_to
QGJUIPDUBHWZPV,Saxagliptin hydrochloride,1,Saxagliptin,0,"dilirank (menang, aturan konflik tetap)"
TTZHDVOVKQGIBA,Sofosbuvir,0,Sofosbuvir,1,"dilirank (menang, aturan konflik tetap)"
ACTRVOBWPAIOHC,Succimer,1,Succimer,0,"dilirank (menang, aturan konflik tetap)"
RMMXLENWKUUMAY,Telmisartan,1,Telmisartan,0,"dilirank (menang, aturan konflik tetap)"
NRUKOCRGYNPUPR,Teniposide,1,Teniposide,0,"dilirank (menang, aturan konflik tetap)"
HJLSLZFTEKNLFI,Tinidazole,1,Tinidazole,0,"dilirank (menang, aturan konflik tetap)"
SUJUHGSWHZTSEU,Tipranavir,1,Tipranavir,0,"dilirank (menang, aturan konflik tetap)"
TVYLLZQTGLZFBW,Tramadol hydrochloride,1,Tramadol,0,"dilirank (menang, aturan konflik tetap)"
LIRYPHYGHXZJBZ,Trametinib dimethyl sulfoxide,1,Trametinib,0,"dilirank (menang, aturan konflik tetap)"
VXFJYXUZANRPDJ,Trandolapril,1,Trandolapril,0,"dilirank (menang, aturan konflik tetap)"
VXKHXGOKWPXYNA,Triptorelin pamoate,1,Triptorelin,0,"dilirank (menang, aturan konflik tetap)"
GPXBXXGIAQBQNI,Vemurafenib,1,Vemurafenib,0,"dilirank (menang, aturan konflik tetap)"
LQBVNQSMGBZMKD,Venetoclax,1,Venetoclax,0,"dilirank (menang, aturan konflik tetap)"
JXLYSJRDGCGARV,Vinblastine sulfate,1,Vinblastine,0,"dilirank (menang, aturan konflik tetap)"
YQNWZWMKLDQSAC,Vortioxetine hydrobromide,1,Vortioxetine,0,"dilirank (menang, aturan konflik tetap)"
RNOAOAWBMHREKO,Zanubrutinib,1,Zanubrutinib,0,"dilirank (menang, aturan konflik tetap)"
